CH1,CH2,t
4.000000189989805222e-03,0.000000000000000000e+00,2.849999999999999886e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.860000000000000129e-04
4.000000189989805222e-03,0.000000000000000000e+00,2.869999999999999830e-04
2.000000094994902611e-03,1.199999969685450196e-04,2.880000000000000073e-04
2.000000094994902611e-03,0.000000000000000000e+00,2.889999999999999774e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.900000000000000017e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.909999999999999718e-04
2.000000094994902611e-03,-7.999999797903001308e-05,2.919999999999999961e-04
2.000000094994902611e-03,3.999999898951500654e-05,2.929999999999999662e-04
6.000000052154064178e-03,-3.999999898951500654e-05,2.939999999999999905e-04
0.000000000000000000e+00,-3.999999898951500654e-05,2.949999999999999606e-04
6.000000052154064178e-03,1.199999969685450196e-04,2.959999999999999849e-04
4.000000189989805222e-03,-7.999999797903001308e-05,2.970000000000000092e-04
0.000000000000000000e+00,-7.999999797903001308e-05,2.979999999999999793e-04
6.000000052154064178e-03,-1.199999969685450196e-04,2.990000000000000036e-04
0.000000000000000000e+00,3.999999898951500654e-05,2.999999999999999737e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.009999999999999980e-04
6.000000052154064178e-03,0.000000000000000000e+00,3.019999999999999681e-04
4.000000189989805222e-03,3.999999898951500654e-05,3.029999999999999924e-04
4.000000189989805222e-03,7.999999797903001308e-05,3.039999999999999625e-04
0.000000000000000000e+00,0.000000000000000000e+00,3.049999999999999868e-04
2.000000094994902611e-03,-7.999999797903001308e-05,3.060000000000000111e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.069999999999999812e-04
0.000000000000000000e+00,1.199999969685450196e-04,3.080000000000000055e-04
6.000000052154064178e-03,-7.999999797903001308e-05,3.089999999999999756e-04
0.000000000000000000e+00,3.999999898951500654e-05,3.099999999999999999e-04
2.000000094994902611e-03,-7.999999797903001308e-05,3.109999999999999700e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.119999999999999944e-04
2.000000094994902611e-03,-7.999999797903001308e-05,3.129999999999999644e-04
4.000000189989805222e-03,3.999999898951500654e-05,3.139999999999999888e-04
0.000000000000000000e+00,-7.999999797903001308e-05,3.149999999999999589e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.159999999999999832e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.170000000000000075e-04
0.000000000000000000e+00,0.000000000000000000e+00,3.179999999999999776e-04
4.000000189989805222e-03,3.999999898951500654e-05,3.190000000000000019e-04
4.000000189989805222e-03,0.000000000000000000e+00,3.199999999999999720e-04
-3.999999724328517914e-03,3.999999898951500654e-05,3.209999999999999963e-04
4.000000189989805222e-03,-7.999999797903001308e-05,3.219999999999999664e-04
0.000000000000000000e+00,3.999999898951500654e-05,3.229999999999999907e-04
6.000000052154064178e-03,0.000000000000000000e+00,3.239999999999999608e-04
4.000000189989805222e-03,0.000000000000000000e+00,3.249999999999999851e-04
-2.000000094994902611e-03,0.000000000000000000e+00,3.260000000000000094e-04
0.000000000000000000e+00,3.999999898951500654e-05,3.269999999999999795e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.280000000000000038e-04
6.000000052154064178e-03,-3.999999898951500654e-05,3.289999999999999739e-04
4.000000189989805222e-03,-3.999999898951500654e-05,3.299999999999999982e-04
0.000000000000000000e+00,3.999999898951500654e-05,3.309999999999999683e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.319999999999999926e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.329999999999999627e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.339999999999999870e-04
6.000000052154064178e-03,7.999999797903001308e-05,3.350000000000000113e-04
0.000000000000000000e+00,-7.999999797903001308e-05,3.359999999999999814e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.370000000000000057e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.379999999999999758e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.390000000000000001e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.399999999999999702e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.409999999999999945e-04
2.000000094994902611e-03,-3.999999898951500654e-05,3.419999999999999646e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.429999999999999889e-04
4.000000189989805222e-03,3.999999898951500654e-05,3.439999999999999590e-04
4.000000189989805222e-03,0.000000000000000000e+00,3.449999999999999833e-04
4.000000189989805222e-03,-7.999999797903001308e-05,3.460000000000000076e-04
4.000000189989805222e-03,3.999999898951500654e-05,3.469999999999999777e-04
6.000000052154064178e-03,-3.999999898951500654e-05,3.480000000000000020e-04
0.000000000000000000e+00,3.999999898951500654e-05,3.489999999999999721e-04
0.000000000000000000e+00,0.000000000000000000e+00,3.499999999999999964e-04
6.000000052154064178e-03,-7.999999797903001308e-05,3.509999999999999665e-04
4.000000189989805222e-03,3.999999898951500654e-05,3.519999999999999908e-04
4.000000189989805222e-03,-3.999999898951500654e-05,3.529999999999999609e-04
0.000000000000000000e+00,-3.999999898951500654e-05,3.539999999999999853e-04
0.000000000000000000e+00,3.999999898951500654e-05,3.550000000000000096e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.559999999999999797e-04
2.000000094994902611e-03,0.000000000000000000e+00,3.570000000000000040e-04
2.000000094994902611e-03,-7.999999797903001308e-05,3.579999999999999741e-04
0.000000000000000000e+00,-3.999999898951500654e-05,3.589999999999999984e-04
0.000000000000000000e+00,7.999999797903001308e-05,3.599999999999999685e-04
2.000000094994902611e-03,0.000000000000000000e+00,3.609999999999999928e-04
2.000000094994902611e-03,7.999999797903001308e-05,3.619999999999999629e-04
2.000000094994902611e-03,-1.599999959580600262e-04,3.629999999999999872e-04
4.000000189989805222e-03,0.000000000000000000e+00,3.639999999999999573e-04
0.000000000000000000e+00,-3.999999898951500654e-05,3.649999999999999816e-04
2.000000094994902611e-03,1.199999969685450196e-04,3.660000000000000059e-04
6.000000052154064178e-03,0.000000000000000000e+00,3.669999999999999760e-04
0.000000000000000000e+00,0.000000000000000000e+00,3.680000000000000003e-04
6.000000052154064178e-03,3.999999898951500654e-05,3.689999999999999704e-04
0.000000000000000000e+00,7.999999797903001308e-05,3.699999999999999947e-04
2.000000094994902611e-03,0.000000000000000000e+00,3.709999999999999648e-04
2.000000094994902611e-03,-7.999999797903001308e-05,3.719999999999999891e-04
6.000000052154064178e-03,3.999999898951500654e-05,3.729999999999999592e-04
4.000000189989805222e-03,-3.999999898951500654e-05,3.739999999999999835e-04
4.000000189989805222e-03,3.999999898951500654e-05,3.750000000000000078e-04
0.000000000000000000e+00,3.999999898951500654e-05,3.759999999999999779e-04
6.000000052154064178e-03,0.000000000000000000e+00,3.770000000000000022e-04
0.000000000000000000e+00,-7.999999797903001308e-05,3.779999999999999723e-04
2.000000094994902611e-03,3.999999898951500654e-05,3.789999999999999966e-04
2.000000094994902611e-03,0.000000000000000000e+00,3.799999999999999667e-04
2.000000094994902611e-03,-7.999999797903001308e-05,3.809999999999999910e-04
